                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4126,                  1.985,                 1.5843,                0.69664,                0.64812,                0.69213,                0.37804,                  1.496,                 1.3882,                 1.7389,              0.0033316,              0.0033316,              0.0033316
                      2,                 1.3381,                 1.5411,                 1.5215,                0.69161,                0.61062,                0.66335,                0.36428,                 1.5688,                 1.4555,                 1.7562,               0.006605,               0.006605,               0.006605
                      3,                 1.4424,                 1.6969,                 1.6015,                0.61084,                0.48145,                0.52477,                0.27004,                 1.7259,                 1.9033,                  1.915,              0.0098183,              0.0098183,              0.0098183
                      4,                 1.5278,                 1.8343,                  1.673,                0.63347,                0.53726,                0.58459,                0.32151,                 1.6086,                 1.6873,                 1.8145,                0.00973,                0.00973,                0.00973
                      5,                  1.458,                 1.6968,                 1.6238,                0.68656,                0.61858,                0.66984,                0.37532,                 1.5607,                 1.4702,                 1.7852,                0.00964,                0.00964,                0.00964
                      6,                  1.403,                 1.5596,                 1.5737,                0.71095,                0.64511,                0.69352,                0.40345,                 1.4889,                 1.4148,                 1.6943,                0.00955,                0.00955,                0.00955
                      7,                 1.3483,                  1.461,                 1.5371,                0.78728,                0.67941,                  0.749,                0.45378,                 1.4236,                  1.241,                 1.6437,                0.00946,                0.00946,                0.00946
                      8,                 1.3066,                 1.3914,                 1.5015,                0.78546,                0.68202,                0.75729,                0.46153,                 1.3952,                 1.2012,                 1.6132,                0.00937,                0.00937,                0.00937
                      9,                 1.2797,                  1.329,                 1.4771,                0.78969,                0.70834,                0.78999,                0.48851,                 1.3625,                  1.124,                 1.5809,                0.00928,                0.00928,                0.00928
                     10,                 1.2473,                 1.2582,                  1.451,                0.81656,                 0.7317,                0.80472,                0.49693,                 1.3436,                 1.0784,                 1.5587,                0.00919,                0.00919,                0.00919
                     11,                  1.217,                 1.2119,                 1.4301,                 0.7926,                0.75096,                0.80509,                0.51493,                  1.288,                 1.0639,                 1.5098,                 0.0091,                 0.0091,                 0.0091
                     12,                 1.2021,                 1.1847,                 1.4121,                0.82218,                0.74265,                0.82328,                0.52349,                 1.3194,                 1.0146,                 1.5366,                0.00901,                0.00901,                0.00901
                     13,                 1.1786,                 1.1249,                 1.3932,                0.83198,                0.76811,                0.83888,                0.53886,                 1.2754,                0.98521,                 1.4819,                0.00892,                0.00892,                0.00892
                     14,                 1.1592,                 1.1001,                 1.3846,                0.84564,                0.76569,                0.84093,                0.54854,                  1.273,                0.94608,                  1.491,                0.00883,                0.00883,                0.00883
                     15,                 1.1296,                 1.0545,                 1.3571,                0.83422,                0.77794,                0.84326,                0.55544,                 1.2489,                0.92694,                  1.466,                0.00874,                0.00874,                0.00874
                     16,                 1.1222,                 1.0518,                 1.3534,                0.84253,                0.79818,                0.85656,                0.57416,                 1.2156,                0.88476,                 1.4359,                0.00865,                0.00865,                0.00865
                     17,                  1.107,                 1.0166,                 1.3387,                0.82876,                0.81369,                0.85624,                0.57222,                 1.2085,                0.87498,                 1.4352,                0.00856,                0.00856,                0.00856
                     18,                 1.0941,                 0.9938,                 1.3267,                0.85855,                0.77942,                0.85855,                0.57582,                 1.2056,                0.85528,                 1.4298,                0.00847,                0.00847,                0.00847
                     19,                 1.0789,                0.97003,                 1.3136,                0.83524,                0.81456,                0.86446,                0.59014,                 1.1809,                0.82556,                 1.4124,                0.00838,                0.00838,                0.00838
                     20,                 1.0575,                0.94069,                 1.3021,                0.85801,                0.81566,                0.87162,                0.59858,                 1.1669,                0.82654,                 1.3878,                0.00829,                0.00829,                0.00829
                     21,                 1.0487,                0.92166,                 1.2984,                0.85607,                0.82009,                0.87258,                0.59918,                 1.1733,                0.81215,                  1.391,                 0.0082,                 0.0082,                 0.0082
                     22,                 1.0448,                 0.9145,                 1.2905,                0.86672,                0.81793,                0.87584,                0.60559,                 1.1593,                0.80502,                 1.3894,                0.00811,                0.00811,                0.00811
                     23,                 1.0342,                0.89951,                 1.2794,                0.84956,                0.82533,                 0.8729,                0.60497,                 1.1459,                0.78906,                  1.377,                0.00802,                0.00802,                0.00802
                     24,                 1.0159,                0.87519,                 1.2658,                0.86756,                0.83542,                0.88442,                0.61487,                 1.1453,                  0.775,                 1.3777,                0.00793,                0.00793,                0.00793
